budget_id,category_id,month,budget_amount
1,1,2022-01-01,741.23
2,2,2022-01-01,1432.74
3,3,2022-01-01,536.34
4,4,2022-01-01,457.20
5,5,2022-01-01,278.26
6,6,2022-01-01,315.84
7,1,2022-02-01,734.59
8,2,2022-02-01,1323.39
9,3,2022-02-01,570.96
10,4,2022-02-01,431.34
11,5,2022-02-01,320.38
12,6,2022-02-01,235.87
13,1,2022-03-01,713.84
14,2,2022-03-01,1320.70
15,3,2022-03-01,532.61
16,4,2022-03-01,494.90
17,5,2022-03-01,355.99
18,6,2022-03-01,351.02
19,1,2022-04-01,768.03
20,2,2022-04-01,1461.93
21,3,2022-04-01,677.89
22,4,2022-04-01,480.97
23,5,2022-04-01,427.96
24,6,2022-04-01,284.93
25,1,2022-05-01,626.49
26,2,2022-05-01,1358.96
27,3,2022-05-01,570.12
28,4,2022-05-01,471.86
29,5,2022-05-01,283.45
30,6,2022-05-01,246.24
31,1,2022-06-01,636.17
32,2,2022-06-01,1475.61
33,3,2022-06-01,585.25
34,4,2022-06-01,496.67
35,5,2022-06-01,321.83
36,6,2022-06-01,368.42
37,1,2022-07-01,646.03
38,2,2022-07-01,1359.90
39,3,2022-07-01,614.80
40,4,2022-07-01,523.09
41,5,2022-07-01,382.47
42,6,2022-07-01,246.27
43,1,2022-08-01,701.79
44,2,2022-08-01,1434.51
45,3,2022-08-01,649.59
46,4,2022-08-01,438.61
47,5,2022-08-01,353.49
48,6,2022-08-01,332.44
49,1,2022-09-01,742.80
50,2,2022-09-01,1440.70
51,3,2022-09-01,576.78
52,4,2022-09-01,488.87
53,5,2022-09-01,303.27
54,6,2022-09-01,275.33
55,1,2022-10-01,663.48
56,2,2022-10-01,1428.34
57,3,2022-10-01,591.23
58,4,2022-10-01,459.57
59,5,2022-10-01,413.05
60,6,2022-10-01,249.24
61,1,2022-11-01,700.78
62,2,2022-11-01,1450.78
63,3,2022-11-01,670.93
64,4,2022-11-01,480.50
65,5,2022-11-01,378.15
66,6,2022-11-01,231.18
67,1,2022-12-01,841.70
68,2,2022-12-01,1662.94
69,3,2022-12-01,649.72
70,4,2022-12-01,669.07
71,5,2022-12-01,368.22
72,6,2022-12-01,385.25
73,1,2023-01-01,746.05
74,2,2023-01-01,1321.67
75,3,2023-01-01,677.10
76,4,2023-01-01,452.96
77,5,2023-01-01,399.49
78,6,2023-01-01,359.67
79,1,2023-02-01,775.86
80,2,2023-02-01,1408.85
81,3,2023-02-01,605.38
82,4,2023-02-01,482.49
83,5,2023-02-01,320.78
84,6,2023-02-01,282.06
85,1,2023-03-01,756.20
86,2,2023-03-01,1438.23
87,3,2023-03-01,557.62
88,4,2023-03-01,497.89
