transaction_id,date_id,category_id,account_id,amount
1,808,3,2,130.28
2,1138,1,2,29.41
3,1035,1,2,42.22
4,966,3,1,146.09
5,866,1,2,8.06
6,831,3,1,295.11
7,392,1,1,45.97
8,340,1,1,10.74
9,932,1,2,51.89
10,1178,3,1,42.03
11,581,3,1,122.30
12,967,1,1,16.24
13,1387,1,1,22.33
14,1338,1,1,12.42
15,1350,4,1,1662.67
16,328,1,3,11.53
17,408,3,3,249.09
18,1278,2,2,553.42
19,385,3,1,57.38
20,66,1,1,14.59
21,1144,1,3,40.04
22,963,1,1,50.04
23,28,1,1,33.49
24,1144,1,3,44.39
25,1074,1,1,5.21
26,341,1,1,41.29
27,773,2,3,294.51
28,282,1,2,53.91
29,785,1,3,38.32
30,1201,1,3,22.18
31,23,1,1,46.62
32,891,1,2,6.66
33,1411,1,3,48.60
34,51,1,3,39.24
35,516,4,1,1086.89
36,440,1,1,22.13
37,943,5,1,305.94
38,232,1,1,46.36
39,172,1,2,14.29
40,618,1,3,14.97
41,519,3,2,1124.37
42,813,1,3,41.63
43,42,1,2,6.94
44,149,1,3,6.57
45,369,3,1,176.11
46,1350,2,2,209.68
47,1176,1,3,34.37
48,654,4,1,762.09
49,1437,3,1,214.27
50,539,3,3,896.75
51,1336,2,3,272.46
52,505,1,3,13.92
53,299,3,2,44.56
54,1118,1,2,49.95
55,358,1,3,40.94
56,500,3,2,89.12
57,91,1,3,7.91
58,1079,6,1,117.10
59,723,3,3,280.80
60,599,2,3,397.89
61,1344,3,1,136.18
62,1010,1,1,29.48
63,1016,2,1,103.17
64,594,1,2,11.17
65,708,3,2,187.21
66,859,6,3,194.32
67,1051,2,2,627.41
68,636,2,1,397.26
69,284,2,2,290.08
70,528,2,2,183.53
71,1270,1,1,19.72
72,559,1,3,32.64
73,687,3,2,172.04
74,208,2,1,542.76
75,1285,3,1,299.83
76,9,1,1,44.03
77,288,2,1,529.12
78,615,1,3,17.45
79,1137,3,1,26.84
80,1197,1,2,36.22
81,26,3,1,1064.39
82,916,3,3,81.36
83,129,1,2,39.70
84,3,3,2,31.96
85,636,1,3,15.66
86,73,1,3,28.83
87,1202,1,2,24.15
88,138,2,3,269.25
89,1352,2,3,630.38
90,774,3,2,479.03
91,804,3,2,1191.71
92,893,3,3,142.39
93,478,1,1,31.57
94,284,1,2,24.75
95,788,3,1,262.16
96,1342,1,2,28.92
97,357,2,3,153.35
98,419,2,2,577.92
99,914,3,3,206.44
100,885,1,3,43.70
101,188,4,1,632.70
102,1337,2,2,395.96
103,549,2,1,461.59
104,667,1,2,23.77
105,1240,1,3,24.63
106,845,3,2,246.24
107,600,3,3,276.15
108,1129,5,1,230.33
109,1023,3,2,44.01
110,1179,3,1,264.72
111,505,1,2,49.45
112,68,1,3,31.68
113,616,1,1,45.35
114,556,4,3,1213.31
115,603,1,1,12.99
116,599,1,2,50.67
117,77,4,1,1501.62
118,429,1,1,41.47
119,459,3,1,655.56
120,297,1,3,25.43
121,815,2,3,184.55
122,1055,1,3,9.41
123,703,3,3,156.45
124,534,3,1,242.45
125,1038,1,2,9.30
126,1066,4,3,380.10
127,765,1,2,17.28
128,739,2,1,633.91
129,580,1,1,47.49
130,292,1,1,29.63
131,1095,4,3,654.37
132,315,1,1,36.32
133,1092,1,3,40.21
134,4,1,2,44.43
135,1056,1,1,37.46
136,1426,1,1,46.99
137,1453,1,3,7.02
138,456,2,1,566.66
139,577,4,2,742.97
140,419,1,3,41.26
141,1190,5,3,356.01
142,907,3,2,252.15
143,188,1,2,12.11
144,814,1,2,23.31
145,5,1,2,36.76
146,692,1,2,34.85
147,727,3,2,153.82
148,453,1,1,12.35
149,8,6,2,159.18
150,511,2,3,372.17
151,402,1,1,11.17
152,623,1,1,21.49
153,1092,1,3,13.12
154,688,3,2,41.10
155,1047,3,3,225.87
156,514,5,2,219.62
157,972,1,3,34.49
158,837,3,3,258.82
159,808,1,2,19.02
160,567,2,3,229.59
161,1324,1,3,51.72
162,269,1,1,44.77
163,470,1,2,26.90
164,1233,4,1,2162.90
165,495,1,2,23.66
166,1214,1,2,15.60
167,135,1,1,26.86
168,24,1,2,18.61
169,693,4,3,1147.64
170,1201,1,2,14.78
171,169,3,3,100.48
172,191,1,2,38.31
173,1063,4,1,1110.68
174,1209,1,3,40.99
175,519,2,1,465.82
176,1070,1,1,36.69
177,1262,1,3,51.18
178,1002,2,3,183.59
179,704,1,2,52.61
180,1355,1,1,27.27
181,302,2,2,568.66
182,1184,1,3,39.06
183,1174,1,2,53.71
184,269,2,1,89.10
185,156,3,2,32.51
186,190,3,3,219.91
187,653,2,2,440.18
188,950,2,3,641.05
189,343,1,3,33.40
190,1452,1,1,31.93
191,137,3,1,197.60
192,1293,2,3,548.46
193,244,1,2,41.01
194,1062,1,3,14.35
195,1057,1,1,26.77
196,844,1,2,31.15
197,1042,1,2,32.45
198,670,3,3,117.13
199,1326,3,1,206.70
200,1344,1,3,28.95
201,1314,1,2,6.37
202,782,1,2,37.42
203,1065,1,2,43.00
204,1428,3,3,222.24
205,396,1,3,42.97
206,1437,1,2,38.04
207,416,1,3,3.11
208,458,4,1,510.52
209,1220,1,3,47.98
210,1207,2,1,434.77
211,113,3,1,731.37
212,1150,3,1,227.85
213,70,1,3,11.23
214,714,1,2,26.42
215,266,1,1,28.85
216,83,1,2,11.98
217,1122,6,1,85.94
218,1153,2,2,323.67
219,1285,1,1,5.12
220,1296,4,2,1336.39
221,1162,1,2,28.15
222,1125,1,3,41.53
223,142,1,2,23.74
224,969,2,1,516.44
225,1094,1,1,40.85
226,1200,1,2,48.25
227,892,1,3,45.73
228,204,1,3,29.91
229,158,6,2,27.95
230,134,1,3,38.05
231,535,1,2,6.61
232,1046,4,1,2199.85
233,870,3,3,282.90
234,1272,2,2,134.16
235,160,2,2,372.98
236,887,1,3,6.19
237,61,2,2,264.39
238,146,1,2,30.93
239,578,1,1,36.72
240,1068,1,3,50.16
241,660,3,2,183.58
242,1179,1,1,20.48
243,622,1,1,33.41
244,882,1,3,37.03
245,1415,1,3,54.84
246,556,3,3,55.79
247,1174,1,1,32.21
248,999,1,3,27.35
249,795,3,2,188.50
250,166,3,2,127.04
251,1401,1,2,4.16
252,471,1,1,46.78
253,375,1,3,39.14
254,1418,1,2,48.90
255,1069,1,3,5.18
256,893,1,2,36.29
257,670,1,2,30.33
258,1376,2,1,631.40
259,1258,1,3,14.03
260,449,3,1,31.76
261,1358,2,2,635.59
262,45,1,1,13.74
263,332,4,3,1580.31
264,1211,1,1,3.13
265,1348,4,1,733.22
266,203,3,1,76.66
267,416,3,2,204.74
268,666,1,2,5.23
269,1074,1,2,45.97
270,1266,3,3,833.59
271,260,1,3,29.75
272,794,2,3,213.09
273,1289,1,1,19.20
